N° Circuito,Carga,Configuración,Resistencia (-),Resistencia (+), SI , NO 
5,3,L-PE,0.31 ohm,0.31 ohm,X , 
5,3,N-PE,0.38 ohm,0.38 ohm,X , 
5,4,L-N,0.28 ohm,0.28 ohm,X , 
5,4,L-PE,0.30 ohm,0.30 ohm,X , 
5,4,N-PE,0.36 ohm,0.36 ohm,X , 
5,5,L-N,0.31 ohm,0.31 ohm,X , 
5,5,L-PE,0.33 ohm,0.33 ohm,X , 
5,5,N-PE,0.41 ohm,0.41 ohm,X , 
5,6,L-N,0.45 ohm,0.44 ohm,X , 
5,6,L-PE,0.30 ohm,0.30 ohm,X , 
5,6,N-PE,0.60 ohm,0.59 ohm,X , 
5,7,L-N,0.34 ohm,0.34 ohm,X , 
5,7,L-PE,0.32 ohm,0.31 ohm,X , 
5,7,N-PE,0.43 ohm,0.43 ohm,X , 
6,1,L-N,0.00 ohm,0.00 ohm,X , 
6,1,L-PE,0.00 ohm,0.00 ohm,X , 
6,1,N-PE,0.24 ohm,0.24 ohm,X , 
6,2,L-N,0.00 ohm,0.00 ohm,X , 
6,2,L-PE,0.00 ohm,0.00 ohm,X , 
6,2,N-PE,0.30 ohm,0.30 ohm,X , 
6,3,L-N,0.00 ohm,0.00 ohm,X , 
6,3,L-PE,0.00 ohm,0.00 ohm,X , 
6,3,N-PE,0.16 ohm,0.16 ohm,X , 
6,4,L-N,0.00 ohm,0.00 ohm,X , 
6,4,L-PE,0.00 ohm,0.00 ohm,X , 
6,4,N-PE,0.08 ohm,0.08 ohm,X , 
6,5,L-N,0.31 ohm,0.32 ohm,X , 
6,5,L-PE,0.48 ohm,0.48 ohm,X , 
6,5,N-PE,0.32 ohm,0.32 ohm,X , 
6,6,L-N,0.59 ohm,0.56 ohm,X , 
6,6,L-PE,0.56 ohm,0.56 ohm,X , 
6,6,N-PE,0.60 ohm,0.57 ohm,X , 
1,1,L-N,0.20 ohm,0.21 ohm,X , 
1,1,L-PE,0.24 ohm,0.24 ohm,X , 
1,1,N-PE,0.20 ohm,0.20 ohm,X , 
2,1,L-N,0.00 ohm,0.00 ohm,X , 
2,1,L-PE,0.03 ohm,0.03 ohm,X , 
2,1,N-PE,0.03 ohm,0.03 ohm,X , 
3,1,L-N,0.00 ohm,0.00 ohm,X , 
3,1,L-PE,0.00 ohm,0.00 ohm,X , 
3,1,N-PE,0.04 ohm,0.04 ohm,X , 
4,1,L-N,0.00 ohm,0.00 ohm,X , 
4,1,L-PE,0.00 ohm,0.00 ohm,X , 
4,1,N-PE,0.06 ohm,0.06 ohm,X , 
5,1,L-N,0.00 ohm,0.00 ohm,X , 
5,1,L-PE,0.00 ohm,0.00 ohm,X , 
5,1,N-PE,0.16 ohm,0.16 ohm,X , 
5,2,L-N,0.02 ohm,0.01 ohm,X , 
5,2,L-PE,0.14 ohm,0.14 ohm,X , 
5,2,N-PE,0.05 ohm,0.04 ohm,X , 
6,1,L-N,1.31 ohm,1.42 ohm,X , 
6,1,L-PE,1.31 ohm,1.37 ohm,X , 
6,1,N-PE,0.07 ohm,0.07 ohm,X , 
1001,Al.,L-N,0.60 ohm,0.50 ohm,X , 
1001,Al.,L-PE,0.00 ohm,0.59 ohm,X , 
1001,Al.,N-PE,0.29 ohm,0.34 ohm,X , 
1002,Al.,L-N,0.00 ohm,0.00 ohm,X , 
1002,Al.,L-PE,0.00 ohm,0.00 ohm,X , 
1002,Al.,N-PE,0.03 ohm,0.03 ohm,X , 
